qualification_id,qualification_name,qualification_type,framework_name,framework_level,awarding_body_id,education_sector,field_specific,minimum_duration_months,credit_value,country,active_status,notes
QLF0001,Bachelor of Science Honours in Information Technology,Bachelors Honours Degree,Sri Lanka Qualifications Framework,6,INS0001,Higher Education,true,48,150,Sri Lanka,Active,Honours undergraduate IT qualification offered by University of Moratuwa
QLF0002,Bachelor of Science in Computer Science,Bachelors Degree,Sri Lanka Qualifications Framework,5,INS0002,Higher Education,true,36,,Sri Lanka,Active,Three-year undergraduate Computer Science qualification delivered through UCSC
QLF0003,Bachelor of Science Honours in Artificial Intelligence,Bachelors Honours Degree,Sri Lanka Qualifications Framework,6,INS0001,Higher Education,true,48,,Sri Lanka,Active,Four-year honours undergraduate qualification in Artificial Intelligence offered by University of Moratuwa
QLF0004,Level 3 Diploma,Foundation Qualification,Regulated Qualifications Framework,3,INS0005,Pre-University Education,false,,,England,Active,Ofqual-regulated Level 3 qualification awarded through NQual and used by IIT within its International Foundation Programme
