programme_id,programme_name,programme_type,provider_institution_id,awarding_body_id,qualification_id,field_of_study,specialisation,duration_months,study_mode,delivery_mode,language,country,province,district,campus,total_fee_lkr,application_fee_lkr,currency,intake_information,application_url,programme_status,last_verified_date,notes
PRG0001,Bachelor of Science Honours in Information Technology,Undergraduate Degree Programme,INS0001,INS0001,QLF0001,Information Technology,,48,Full-time,Physical,English,Sri Lanka,Western,Colombo,Moratuwa,,,LKR,UGC annual intake,https://www.uom.lk/itfac/education/undergraduate/it,Active,2026-08-08,Four academic years with industrial training
PRG0002,Bachelor of Science in Computer Science,Undergraduate Degree Programme,INS0003,INS0002,QLF0002,Computer Science,,36,Full-time,Physical,English,Sri Lanka,Western,Colombo,UCSC,,,LKR,UGC annual intake,https://cmb.ac.lk/undergraduate-programmes,Active,2026-08-11,Three-year BSc in Computer Science offered through UCSC
PRG0003,Bachelor of Science Honours in Artificial Intelligence,Undergraduate Degree Programme,INS0001,INS0001,QLF0003,Artificial Intelligence,,48,Full-time,Physical,English,Sri Lanka,Western,Colombo,Moratuwa,,,LKR,UGC annual intake,https://uom.lk/itfac/bachelor-science-honours-artificial-intelligence,Active,2026-08-11,Four-year honours undergraduate Artificial Intelligence programme offered by University of Moratuwa
PRG0004,IIT International Foundation - Computing (IT) Pathway,Foundation Programme,INS0004,INS0005,QLF0004,Computing,Computing (IT) Pathway,8,,,English,Sri Lanka,Western,Colombo,,,,LKR,January/May/September,https://www.iit.ac.lk/foundation/it/,Active,2026-08-18,Pre-university computing pathway preparing students for progression into Software Engineering Computer Science or Artificial Intelligence and Data Science degrees
