framework_id,framework_name,framework_owner,country,description
FRM001,Sri Lanka Qualifications Framework,University Grants Commission,Sri Lanka,National qualifications framework covering senior secondary undergraduate and postgraduate qualification levels across 12 levels
FRM002,National Vocational Qualifications Framework,Tertiary and Vocational Education Commission,Sri Lanka,National vocational qualifications framework covering occupational and technical qualifications across 7 levels
FRM003,Regulated Qualifications Framework,Office of Qualifications and Examinations Regulation,England,Framework used for regulated qualifications in England with qualification levels from Entry Level through Level 8
